,company_name,best_match,best_score
18939,vina technologies,via technologies,97
22302,miranda technologies,mirada technologies,97
24125,map pharmaceuticals,map pharmaceutical,97
25089,crs electronics,crs electronic,97
25,acme electric,ace electric,96
350,css industries,cs industries,96
1588,nippon telegraph & telephone,nippan telegraph & telephone,96
1650,firstenergy,first energy,96
5260,a10 networks,a10 network,96
21164,multi-fineline electron,multi-fineline electronix,96
23130,innovive pharmaceuticals,innovative pharmaceuticals,96
23506,fortress investment grp,fortress investment group,96
433,delphax technologies,delph technologies,95
3840,paratek pharmaceutcls,paratek pharmaceuticals,95
4988,apt systems,ap systems,95
5918,second sight medical prods,second sight medical products,95
7086,transunion,trans union,95
13799,mirion technologies,micron technologies,95
14020,biomedical technology soltns,biomedical technology solutions,95
14033,astea international,astec international,95
14071,vion pharmaceuticals,vipont pharmaceuticals,95
14524,astex pharmaceuticals,ase pharmaceuticals,95
15403,casco international,camco international,95
18963,medis technologies,medisyn technologies,95
22451,ces energy solutions,cet energy solutions,95
22457,sensio technologies,sensor technologies,95
25054,adamis pharmaceuticals,adamas pharmaceuticals,95
26700,amarantus bioscience hldgs,amarantus bioscience holdings,95
1181,si technologies,size technologies,94
1289,pc group,pci group,94
3070,cps technologies,cpg technologies,94
3121,innova/pure water,innova pure water,94
3746,btu international,btg international,94
4422,receptos,receptors,94
9451,live microsystems,life microsystems,94
9915,learn2com,learncom,94
12314,jaws acquisition,jawb acquisition,94
15034,mast therapeutics,mati therapeutics,94
15715,siga technologies,signal technologies,94
16427,avva technologies,avax technologies,94
